,Yield,Group,Data Source
0,0.0003381062611213015,1,Pulse
1,0.0025433845692529222,2,Pulse
2,0.0010168228305499,3,Pulse
3,0.004350108837150682,4,Pulse
4,0.00500406505701082,5,Pulse
5,0.005291137193237022,6,Pulse
6,0.0005289178657818139,1,Static
7,0.00262135622970502,2,Static
8,0.0012268540607932768,3,Static
9,0.004058984774223013,4,Static
10,0.007111273177806601,5,Static
11,0.004776212520508741,6,Static
12,0.0005289178657818139,1,Static-Pulse
13,0.00262135622970502,2,Static-Pulse
14,0.0012268540607932768,3,Static-Pulse
15,0.004058984774223013,4,Static-Pulse
16,0.00500406505701082,5,Static-Pulse
17,0.005291137193237022,6,Static-Pulse
