,Yield,Group,Data Source
0,0.0003381062092498079,1,Pulse
1,0.0025433812097214437,2,Pulse
2,0.001016820076222752,3,Pulse
3,0.004350101530319584,4,Pulse
4,0.005004048267135235,5,Pulse
5,0.005291125776130938,6,Pulse
6,0.000494818704111298,1,Static
7,0.002572247758118034,2,Static
8,0.0011642293812134167,3,Static
9,0.004030805190199277,4,Static
10,0.007070760769171507,5,Static
11,0.0047730880686553704,6,Static
12,0.000494818704111298,1,Static-Pulse
13,0.002572247758118034,2,Static-Pulse
14,0.0011642293812134167,3,Static-Pulse
15,0.004030805190199277,4,Static-Pulse
16,0.005004048267135235,5,Static-Pulse
17,0.005291125776130938,6,Static-Pulse
