,Yield,Group,Data Source
0,0.00033810624901089477,1,Pulse
1,0.0025433844764870153,2,Pulse
2,0.0010168227588346985,3,Pulse
3,0.00435010839880883,4,Pulse
4,0.005004064651860908,5,Pulse
5,0.0052911385421819,6,Pulse
6,0.0005289561269942839,1,Static
7,0.002621320354213595,2,Static
8,0.0012268152487616903,3,Static
9,0.004057831520855689,4,Static
10,0.007108671572024722,5,Static
11,0.004774348467893536,6,Static
12,0.0005289561269942839,1,Static-Pulse
13,0.002621320354213595,2,Static-Pulse
14,0.0012268152487616903,3,Static-Pulse
15,0.004057831520855689,4,Static-Pulse
16,0.005004064651860908,5,Static-Pulse
17,0.0052911385421819,6,Static-Pulse
