,Yield,Group,Data Source
0,0.00033810628146181573,1,Pulse
1,0.0025433848254314026,2,Pulse
2,0.0010168231136482356,3,Pulse
3,0.004350110672255888,4,Pulse
4,0.005004065919956129,5,Pulse
5,0.005291130953846729,6,Pulse
6,0.000465754558344922,1,Static
7,0.0017309425694846884,2,Static
8,0.0006067010845474837,3,Static
9,0.00022391036465767834,4,Static
10,5.3131602602316865e-09,5,Static
11,5.0630336548229894e-09,6,Static
12,0.000465754558344922,1,Static-Pulse
13,0.0017309425694846884,2,Static-Pulse
14,0.0006067010845474837,3,Static-Pulse
15,0.00022391036465767834,4,Static-Pulse
16,0.005004065919956129,5,Static-Pulse
17,0.005291130953846729,6,Static-Pulse
