,Yield,Group,Data Source
0,0.0003381062580981045,1,Pulse
1,0.0025433845212552565,2,Pulse
2,0.0010168227692843688,3,Pulse
3,0.004350108419717552,4,Pulse
4,0.005004064755143675,5,Pulse
5,0.005291138951516668,6,Pulse
6,0.0005290502385729192,1,Static
7,0.002623571464979603,2,Static
8,0.0012282839513512959,3,Static
9,0.00406534020457238,4,Static
10,0.007123574512698708,5,Static
11,0.004784748101217059,6,Static
12,0.0005290502385729192,1,Static-Pulse
13,0.002623571464979603,2,Static-Pulse
14,0.0012282839513512959,3,Static-Pulse
15,0.00406534020457238,4,Static-Pulse
16,0.005004064755143675,5,Static-Pulse
17,0.005291138951516668,6,Static-Pulse
