,Yield,Group,Data Source
0,0.00033810627682857007,1,Pulse
1,0.0025433847635366606,2,Pulse
2,0.0010168230580827658,3,Pulse
3,0.004350110396002701,4,Pulse
4,0.005004066212588487,5,Pulse
5,0.005291130978213273,6,Pulse
6,0.0005290789202026752,1,Static
7,0.00262241973887878,2,Static
8,0.001227377124429154,3,Static
9,0.004057544942425757,4,Static
10,0.007107564680368796,5,Static
11,0.0047734368840970124,6,Static
12,0.0005290789202026752,1,Static-Pulse
13,0.00262241973887878,2,Static-Pulse
14,0.001227377124429154,3,Static-Pulse
15,0.004057544942425757,4,Static-Pulse
16,0.005004066212588487,5,Static-Pulse
17,0.005291130978213273,6,Static-Pulse
