,Yield,Group,Data Source
0,0.00033810632490827695,1,Pulse
1,0.0025433851301416284,2,Pulse
2,0.0010168232090129424,3,Pulse
3,0.00435011101744704,4,Pulse
4,0.005004066688105316,5,Pulse
5,0.005291132152560326,6,Pulse
6,0.0005439588409610447,1,Static
7,0.003034134528513325,2,Static
8,0.0016218819737163776,3,Static
9,0.00745555163756735,4,Static
10,0.006846239398380621,5,Static
11,0.000994862027965385,6,Static
12,0.0005439588409610447,1,Static-Pulse
13,0.003034134528513325,2,Static-Pulse
14,0.0016218819737163776,3,Static-Pulse
15,0.00745555163756735,4,Static-Pulse
16,0.005004066688105316,5,Static-Pulse
17,0.005291132152560326,6,Static-Pulse
