,Yield,Group,Data Source
0,0.00033810609644694203,1,Pulse
1,0.002543382519454069,2,Pulse
2,0.0010168204419451054,3,Pulse
3,0.00435009267064431,4,Pulse
4,0.00500405357887621,5,Pulse
5,0.005291200875938471,6,Pulse
6,0.0005317895521387583,1,Static
7,0.002639712765993937,2,Static
8,0.0012364349461211521,3,Static
9,0.004106534445574984,4,Static
10,0.007201787171803819,5,Static
11,0.004838772281542487,6,Static
12,0.0005317895521387583,1,Static-Pulse
13,0.002639712765993937,2,Static-Pulse
14,0.0012364349461211521,3,Static-Pulse
15,0.004106534445574984,4,Static-Pulse
16,0.00500405357887621,5,Static-Pulse
17,0.005291200875938471,6,Static-Pulse
