,Yield,Group,Data Source
0,0.0003381062502801033,1,Pulse
1,0.0025433844351269758,2,Pulse
2,0.0010168226711560833,3,Pulse
3,0.004350107743841685,4,Pulse
4,0.005004064235606414,5,Pulse
5,0.005291141574453891,6,Pulse
6,0.0005290542225333352,1,Static
7,0.0026219180953278853,2,Static
8,0.0012271515058507403,3,Static
9,0.004058475742848049,4,Static
10,0.007109623360652871,5,Static
11,0.004774954433003841,6,Static
12,0.0005290542225333352,1,Static-Pulse
13,0.0026219180953278853,2,Static-Pulse
14,0.0012271515058507403,3,Static-Pulse
15,0.004058475742848049,4,Static-Pulse
16,0.005004064235606414,5,Static-Pulse
17,0.005291141574453891,6,Static-Pulse
