,Yield,Group,Data Source
0,0.00033810626266722604,1,Pulse
1,0.00254338459080278,2,Pulse
2,0.0010168228536234635,3,Pulse
3,0.004350108979833693,4,Pulse
4,0.005004065076955835,5,Pulse
5,0.0052911367886516675,6,Pulse
6,0.000529207251999125,1,Static
7,0.0026241919908328057,2,Static
8,0.0012285357438238938,3,Static
9,0.004066805404583031,4,Static
10,0.0071263137360443535,5,Static
11,0.00478663320435138,6,Static
12,0.000529207251999125,1,Static-Pulse
13,0.0026241919908328057,2,Static-Pulse
14,0.0012285357438238938,3,Static-Pulse
15,0.004066805404583031,4,Static-Pulse
16,0.005004065076955835,5,Static-Pulse
17,0.0052911367886516675,6,Static-Pulse
