,Yield,Group,Data Source
0,0.00033810624217584493,1,Pulse
1,0.00254338429303755,2,Pulse
2,0.0010168225322208743,3,Pulse
3,0.004350107060696791,4,Pulse
4,0.005004065254256051,5,Pulse
5,0.0052911412581682915,6,Pulse
6,0.0002698840242503311,1,Static
7,0.002116281640760388,2,Static
8,0.0011533104326756007,3,Static
9,0.0038554066440753417,4,Static
10,0.0071905736456682355,5,Static
11,0.004914558220581506,6,Static
12,0.0002698840242503311,1,Static-Pulse
13,0.002116281640760388,2,Static-Pulse
14,0.0011533104326756007,3,Static-Pulse
15,0.0038554066440753417,4,Static-Pulse
16,0.005004065254256051,5,Static-Pulse
17,0.0052911412581682915,6,Static-Pulse
