,Yield,Group,Data Source
0,0.0003381062560324434,1,Pulse
1,0.002543384470672319,2,Pulse
2,0.0010168227417275248,3,Pulse
3,0.004350108460658891,4,Pulse
4,0.005004066026851774,5,Pulse
5,0.005291136220360228,6,Pulse
6,0.0005293429048734799,1,Static
7,0.0026244501990133253,2,Static
8,0.0012284063636908117,3,Static
9,0.004062397140454891,4,Static
10,0.00711697002619002,5,Static
11,0.004779937168737017,6,Static
12,0.0005293429048734799,1,Static-Pulse
13,0.0026244501990133253,2,Static-Pulse
14,0.0012284063636908117,3,Static-Pulse
15,0.004062397140454891,4,Static-Pulse
16,0.005004066026851774,5,Static-Pulse
17,0.005291136220360228,6,Static-Pulse
