,Yield,Group,Data Source
0,0.00033810601763539793,1,Pulse
1,0.0025433815299599565,2,Pulse
2,0.0010168192795817553,3,Pulse
3,0.004350084798722701,4,Pulse
4,0.005004048173466483,5,Pulse
5,0.005291231516184769,6,Pulse
6,0.0005360685637534033,1,Static
7,0.002682367761061776,2,Static
8,0.001260112031585676,3,Static
9,0.004198330608449201,4,Static
10,0.007376947793412231,5,Static
11,0.004959265059416853,6,Static
12,0.0005360685637534033,1,Static-Pulse
13,0.002682367761061776,2,Static-Pulse
14,0.001260112031585676,3,Static-Pulse
15,0.004198330608449201,4,Static-Pulse
16,0.005004048173466483,5,Static-Pulse
17,0.005291231516184769,6,Static-Pulse
