,Yield,Group,Data Source
0,0.00033810627820598865,1,Pulse
1,0.0025433847797773808,2,Pulse
2,0.001016823075587888,3,Pulse
3,0.004350110504829695,4,Pulse
4,0.00500406632813641,5,Pulse
5,0.00529113044014995,6,Pulse
6,0.0004708816682377331,1,Static
7,0.0025420443773088983,2,Static
8,0.0011342617834672914,3,Static
9,0.004017213569125178,4,Static
10,0.007058187604749371,5,Static
11,0.004784196964755656,6,Static
12,0.0004708816682377331,1,Static-Pulse
13,0.0025420443773088983,2,Static-Pulse
14,0.0011342617834672914,3,Static-Pulse
15,0.004017213569125178,4,Static-Pulse
16,0.00500406632813641,5,Static-Pulse
17,0.00529113044014995,6,Static-Pulse
