,Yield,Group,Data Source
0,0.00033810622574023707,1,Pulse
1,0.002543384068154051,2,Pulse
2,0.0010168222871286944,3,Pulse
3,0.004350105538275802,4,Pulse
4,0.00500406480946153,5,Pulse
5,0.005291146013704873,6,Pulse
6,0.0004705487817883598,1,Static
7,0.0025383090400679406,2,Static
8,0.0011320637276858705,3,Static
9,0.004005498174063742,4,Static
10,0.0070352160862249755,5,Static
11,0.00476807180955065,6,Static
12,0.0004705487817883598,1,Static-Pulse
13,0.0025383090400679406,2,Static-Pulse
14,0.0011320637276858705,3,Static-Pulse
15,0.004005498174063742,4,Static-Pulse
16,0.00500406480946153,5,Static-Pulse
17,0.005291146013704873,6,Static-Pulse
